category,term,description,number_of_genes,number_of_genes_in_background,p_value,fdr,preferredNames
Process,GO:0031401,Positive regulation of protein modification process,25,1018,1.1e-08,7.04e-07,"MAPK1,FLT3,CDC25B,MAPK3,KDR,EGFR,ADRA2A,PPARG,ACE,F2,ADAM17,HSP90AA1,DYRK1A,DRD2,PTGS2,PTPN1,ABL1,JAK2,IL6,ADRA2C,FGFR1,PIK3CG,NTRK1,HTR2A,PTPN11"
Process,GO:0043068,Positive regulation of programmed cell death,18,519,1.12e-08,7.07e-07,"NR3C1,CTSD,PPARG,ACE,PTPN2,PRKDC,BACE1,NOS2,PTGS2,ABL1,PIK3CD,AKR1C3,JAK2,MAPK8,IL6,TOP2A,NTRK1,ADORA2A"
Process,GO:0003006,Developmental process involved in reproduction,25,1023,1.21e-08,7.65e-07,"MAPK1,CYP27B1,MAPK14,CDC25B,KDR,SRD5A1,EGFR,PPARG,ACE,PLG,PPARD,PRKDC,PGR,CTSB,PDE3A,PTGS2,CYP17A1,AR,HSD17B3,AKR1C3,CYP19A1,ESR1,NTRK1,SRD5A2,PTPN11"
Process,GO:0045923,Positive regulation of fatty acid metabolic process,7,37,1.24e-08,7.81e-07,"PPARG,FABP1,PPARD,PTGS2,PPARA,NR1H3,NR1H2"
Process,GO:0009058,Biosynthetic process,41,2506,1.26e-08,7.86e-07,"CYP51A1,HSD17B1,CYP27B1,MAPK14,CYP2C9,RORA,MAPK3,POLB,CDK2,SLC6A3,SRD5A1,PPARG,HMGCR,NPC1L1,CYP11B1,GLUL,PPARD,NOS2,CACNA1H,HSP90AA1,PTGES,PTGS1,PTGS2,CYP17A1,ALOX5,AR,HSD17B3,PIK3CD,POLA1,AKR1C3,JAK2,G6PD,CYP19A1,PPARA,TBXAS1,ESR1,PIK3CG,NR1H4,SRD5A2,NR1H3,CYP2D6"
Process,GO:0030097,Hemopoiesis,20,655,1.26e-08,7.86e-07,"MAPK14,FLT3,RORA,KDR,PPARG,ACE,ADAM17,PTPN2,PRKDC,RORC,PDE2A,ABL1,PIK3CD,JAK2,G6PD,IL6,TOP2A,NTRK1,JAK3,PTPN11"
Process,GO:0044706,Multi-multicellular organism process,12,200,1.31e-08,8.11e-07,"STS,CYP27B1,SLC6A4,ADRA2A,ACE,PPARD,HSD11B2,PGR,CTSB,PTGS2,AR,ESR1"
Process,GO:0042632,Cholesterol homeostasis,9,89,1.42e-08,8.78e-07,"FABP4,RORA,NPC1L1,SREBF2,AKR1C1,EPHX2,NR1H4,NR1H3,NR1H2"
Process,GO:0051248,Negative regulation of protein metabolic process,25,1038,1.61e-08,9.85e-07,"CYP51A1,CSNK2A1,FABP4,EGFR,PPARG,HMGCR,FABP1,F2,PTPN2,PRKDC,NOS2,SERPINA6,PDE4D,CTSB,DRD2,PTGS2,PTPN1,ABL1,PLAU,RPS6KA3,G6PD,JAK3,NR1H3,ADORA2A,NR1H2"
Process,GO:0050709,Negative regulation of protein secretion,8,62,1.63e-08,9.97e-07,"CYP51A1,ADRA2A,HMGCR,DRD2,DRD3,OPRM1,NR1H3,PTPN11"
Process,GO:0050805,Negative regulation of synaptic transmission,8,62,1.63e-08,9.97e-07,"SLC6A4,BCHE,ACHE,DRD2,PTGS2,GABBR1,DRD3,HTR2A"
Process,GO:0043434,Response to peptide hormone,15,355,1.71e-08,1.03e-06,"MAPK14,SRD5A1,CA2,PPARG,CYP11B1,PTPN2,PRKDC,HSD11B2,PTGS2,PTPN1,JAK2,PPARA,TYK2,JAK3,SRD5A2"
Process,GO:0019229,Regulation of vasoconstriction,8,63,1.83e-08,1.1e-06,"CHRM3,ADRA2A,ACE,PTGS2,ABL1,ADRA2C,TBXAS1,HTR2A"
Process,GO:0010557,Positive regulation of macromolecule biosynthetic process,35,1935,1.85e-08,1.11e-06,"MAPK1,MAPK14,NR3C1,RORA,KCNH2,MAPK3,KDR,CDK2,EGFR,PPARG,PPARD,PRKDC,MET,PGR,RORC,HSP90AA1,NR1I2,DYRK1A,ESR2,SREBF2,DRD2,NR1I3,ABL1,AR,RPS6KA3,JAK2,DRD3,PPARA,IL6,ESR1,TOP2A,JAK3,NR1H4,NR1H3,NR1H2"
Process,GO:0043066,Negative regulation of apoptotic process,23,891,1.92e-08,1.15e-06,"CSNK2A1,KDR,EGFR,FABP1,PPARD,PRKDC,RORC,PDE3A,PTGS2,PTPN1,ABL1,AR,RPS6KA3,JAK2,DRD3,MAPK8,PPARA,IL6,PIK3CG,NTRK1,JAK3,NR1H4,ADORA2A"
Process,GO:0007166,Cell surface receptor signaling pathway,36,2040,2.03e-08,1.21e-06,"MAPK1,CSNK2A1,MAPK14,ADORA3,FLT3,CHRM3,MAPK3,KDR,EGFR,PPARG,F2,ADAM17,PTPN2,MET,PDE4D,DRD2,PTPN1,ABL1,PLAU,AR,GABBR1,PIK3CD,JAK2,DRD3,MAPK8,IL6,FGFR1,OPRM1,CHRM2,GPBAR1,NTRK1,TYK2,JAK3,NR1H4,ADORA2A,PTPN11"
Process,GO:0019752,Carboxylic acid metabolic process,22,819,2.05e-08,1.22e-06,"MAPK14,CYP2C9,PPARG,UGT2B7,GLUL,PPARD,NOS2,PTGES,PTGS1,PTGS2,CYP2C19,ALOX5,AKR1C3,AKR1C2,AKR1C1,PPARA,TBXAS1,HTR2A,NR1H4,SRD5A2,CYP2D6,CES2"
Process,GO:0048732,Gland development,16,419,2.16e-08,1.28e-06,"MAPK1,NR3C1,MAPK3,POLB,SLC6A3,SRD5A1,EGFR,MET,PGR,DRD2,ABL1,AR,JAK2,CYP19A1,IL6,ESR1"
Process,GO:1905952,Regulation of lipid localization,11,167,2.2e-08,1.29e-06,"PPARG,PPARD,PTPN2,PTGES,SREBF2,CYP19A1,PPARA,IL6,NR1H3,PTPN11,NR1H2"
Process,GO:0033554,Cellular response to stress,31,1572,2.21e-08,1.3e-06,"MAPK1,MAPK14,RORA,MAPK3,POLB,CDK2,SRD5A1,EGFR,SIGMAR1,PPARG,NPC1L1,FABP1,GLUL,PPARD,PRKDC,HSP90AA1,SREBF2,PTGS2,PTPN1,ABL1,POLA1,RPS6KA3,AKR1C3,JAK2,G6PD,MAPK8,PPARA,IL6,CHEK1,TOP2A,PTPN11"
Process,GO:0001819,Positive regulation of cytokine production,17,482,2.33e-08,1.36e-06,"MAPK14,RORA,ADRA2A,ADAM17,NOS2,HSP90AA1,PDE4D,DRD2,PTGS2,ABL1,PIK3CD,JAK2,IL6,PIK3CG,TYK2,NR1H4,PTPN11"
Process,GO:0006807,Nitrogen compound metabolic process,74,6643,2.32e-08,1.36e-06,"MAPK1,CSNK2A1,MAPK14,CTSD,FLT3,CDC25B,CHRM3,CYP2C9,RORA,MAPK3,KDR,BCHE,POLB,CDK2,SLC6A3,SRD5A1,EGFR,ADRA2A,PPARG,HMGCR,NPC1L1,ACE,ACHE,CDC25A,GLUL,F2,PLG,ADAM17,PPARD,PTPN2,PRKDC,MET,BACE1,NOS2,PDE2A,HSP90AA1,DYRK1A,PDE4D,CTSB,AKR1B10,TOP1,DRD2,PTPN1,ABL1,PLAU,AR,F10,PIK3CD,POLA1,RPS6KA3,AKR1C3,AKR1C2,AKR1C1,JAK2,DRD3,G6PD,MAPK8,PPARA,PDE7A,CHEK1,FGFR1,ESR1,TOP2A,PIK3CG,NTRK1,TYK2,JAK3,HTR2A,NR1H4,NR1H3,PTPN11,CYP2D6,PREP,NR1H2"
Process,GO:1902652,Secondary alcohol metabolic process,10,129,2.32e-08,1.36e-06,"CYP51A1,CYP27B1,CYP2C9,HMGCR,NPC1L1,CYP11B1,PPARD,SREBF2,G6PD,CYP2D6"
Process,GO:0010468,Regulation of gene expression,61,4899,2.37e-08,1.37e-06,"MAPK1,MAPK14,NR3C1,ADORA3,FABP4,RORA,SLC6A4,KCNH2,MAPK3,KDR,CDK2,EGFR,ADRA2A,PPARG,ACE,F2,ADAM17,PPARD,PTPN2,PRKDC,MET,PGR,RORC,NOS2,PDE2A,HSP90AA1,NR1I2,DYRK1A,ESR2,PDE4D,NR3C2,SREBF2,TOP1,DRD2,PTGS2,NR1I3,ABL1,PLAU,ALOX5,AR,PIK3CD,POLA1,RPS6KA3,JAK2,DRD3,MAPK8,PPARA,IL6,CHEK1,ESR1,TOP2A,PIK3CG,EPHX2,NTRK1,TYK2,JAK3,NR1H4,NR1H3,ADORA2A,PTPN11,NR1H2"
Process,GO:0051952,Regulation of amine transport,9,95,2.4e-08,1.39e-06,"ADORA3,ADRA2A,DRD2,TACR2,GABBR1,DRD3,ADRA2C,HTR2A,ADORA2A"
Process,GO:0010594,Regulation of endothelial cell migration,11,169,2.46e-08,1.42e-06,"KDR,PPARG,GLUL,PLG,ADAM17,MET,PTGS2,ABL1,PIK3CD,FGFR1,PIK3CG"
Process,GO:0007565,Female pregnancy,11,170,2.61e-08,1.49e-06,"STS,CYP27B1,ADRA2A,ACE,PPARD,HSD11B2,PGR,CTSB,PTGS2,AR,ESR1"
Process,GO:0051128,Regulation of cellular component organization,39,2365,2.67e-08,1.52e-06,"MAPK1,CSNK2A1,CYP27B1,MAPK14,MAPK3,KDR,CDK2,EGFR,PPARG,ACE,F2,ADAM17,PPARD,MET,PDE2A,HSP90AA1,DYRK1A,ESR2,PDE3A,SREBF2,DRD2,PTPN1,ABL1,AR,RPS6KA3,DRD3,G6PD,MAPK8,PPARA,IL6,CHEK1,ESR1,TOP2A,GPBAR1,NTRK1,NR1H4,NR1H3,PTPN11,NR1H2"
Process,GO:0010887,Negative regulation of cholesterol storage,5,10,2.96e-08,1.68e-06,"PPARG,PPARD,PPARA,NR1H3,NR1H2"
Process,GO:2000147,Positive regulation of cell motility,18,555,3.01e-08,1.7e-06,"MAPK1,MAPK3,KDR,EGFR,ADRA2A,PLG,ADAM17,MET,PTGS2,ABL1,PLAU,TACR2,F10,PIK3CD,JAK2,IL6,FGFR1,PIK3CG"
Process,GO:0016125,Sterol metabolic process,10,135,3.48e-08,1.95e-06,"CYP51A1,CYP2C9,HMGCR,NPC1L1,CYP11B1,PPARD,SREBF2,G6PD,CYP19A1,CYP2D6"
Process,GO:0050776,Regulation of immune response,22,844,3.46e-08,1.95e-06,"MAPK1,MAPK14,PPARG,PTPN2,PRKDC,HSP90AA1,PDE4D,DRD2,PTPN1,ABL1,PIK3CD,RPS6KA3,JAK2,MAPK8,IL6,ESR1,TYK2,JAK3,NR1H4,NR1H3,PTPN11,NR1H2"
Process,GO:0050793,Regulation of developmental process,40,2492,3.46e-08,1.95e-06,"MAPK1,CYP27B1,MAPK14,RORA,SLC6A4,KDR,SLC6A3,EGFR,PPARG,ACE,GLUL,F2,PPARD,PTPN2,PRKDC,RORC,PDE3A,DRD2,PTGS2,ABL1,ALOX5,AR,PIK3CD,RPS6KA3,JAK2,DRD3,G6PD,PPARA,IL6,ADRA2C,FGFR1,OPRM1,ESR1,NTRK1,JAK3,HTR2A,NR1H4,NR1H3,PTPN11,NR1H2"
Process,GO:0045944,Positive regulation of transcription by RNA polymerase II,27,1250,3.59e-08,2e-06,"MAPK14,NR3C1,RORA,MAPK3,EGFR,PPARG,PPARD,PRKDC,MET,PGR,NR1I2,ESR2,SREBF2,DRD2,NR1I3,ABL1,AR,RPS6KA3,JAK2,DRD3,PPARA,IL6,ESR1,TOP2A,NR1H4,NR1H3,NR1H2"
Process,GO:0035556,Intracellular signal transduction,30,1518,3.78e-08,2.09e-06,"MAPK1,MAPK14,CHRM3,MAPK3,KDR,POLB,CDK2,EGFR,ADRA2A,PPARD,PRKDC,NOS2,PDE2A,PDE4D,PDE3A,DRD2,ABL1,AR,PIK3CD,RPS6KA3,JAK2,MAPK8,PDE7A,CHEK1,FGFR1,PIK3CG,TYK2,JAK3,HTR2A,PTPN11"
Process,GO:1901652,Response to peptide,16,437,3.79e-08,2.1e-06,"MAPK14,SRD5A1,CA2,PPARG,CYP11B1,PTPN2,PRKDC,HSD11B2,BACE1,PTGS2,PTPN1,JAK2,PPARA,TYK2,JAK3,SRD5A2"
Process,GO:0062197,Cellular response to chemical stress,13,272,4.13e-08,2.27e-06,"MAPK1,MAPK3,EGFR,SIGMAR1,PPARG,FABP1,PTGS2,ABL1,AKR1C3,JAK2,G6PD,MAPK8,IL6"
Process,GO:0070848,Response to growth factor,17,503,4.25e-08,2.33e-06,"MAPK1,MAPK14,NR3C1,FLT3,MAPK3,KDR,SRD5A1,EGFR,PPARG,PDE2A,PDE3A,ABL1,PIK3CD,FGFR1,OPRM1,NTRK1,PTPN11"
Process,GO:0071241,Cellular response to inorganic substance,12,227,4.94e-08,2.69e-06,"MAPK1,HSD17B1,FABP4,MAPK3,CDK2,EGFR,CYP11B1,BACE1,CACNA1H,PTGS2,AKR1C3,MAPK8"
Process,GO:0006706,Steroid catabolic process,6,26,5.08e-08,2.76e-06,"STS,CYP27B1,SRD5A1,HSD11B1,CYP19A1,SRD5A2"
Process,GO:0050794,Regulation of cellular process,101,11025,5.14e-08,2.78e-06,"CYP51A1,MAPK1,CSNK2A1,CYP27B1,MAPK14,NR3C1,CTSD,ADORA3,FLT3,CDC25B,CHRM3,FABP4,RORA,SLC6A4,KCNH2,MAPK3,KDR,BCHE,POLB,CDK2,SLC6A3,EGFR,SIGMAR1,ADRA2A,CA2,PPARG,HMGCR,ACE,FABP1,ACHE,CDC25A,GLUL,F2,PLG,ADAM17,PPARD,PTPN2,PRKDC,MET,BACE1,PGR,RORC,NOS2,CACNA1H,PDE2A,HSP90AA1,NR1I2,DYRK1A,PTGES,ESR2,PDE4D,CTSB,NR3C2,PDE3A,SREBF2,PTGS1,DRD2,PTGS2,NR1I3,PTPN1,ABL1,PLAU,TACR2,ALOX5,AR,F10,GABBR1,PIK3CD,RPS6KA3,AKR1C3,AKR1C2,AKR1C1,JAK2,DRD3,G6PD,MAPK8,CYP19A1,HCRTR1,PPARA,PDE7A,IL6,ADRA2C,CHEK1,FGFR1,OPRM1,CHRM2,ESR1,TOP2A,PIK3CG,GPBAR1,NTRK1,TYK2,JAK3,HTR2A,NR1H4,NR1H3,ABCB1,ADORA2A,PTPN11,CYP2D6,NR1H2"
Process,GO:0002376,Immune system process,36,2121,5.45e-08,2.94e-06,"MAPK1,CYP27B1,MAPK14,CTSD,FLT3,RORA,MAPK3,KDR,POLB,PPARG,ACE,CYP11B1,F2,PLG,ADAM17,PTPN2,PRKDC,RORC,NOS2,PDE2A,HSP90AA1,PDE4D,ABL1,ALOX5,PIK3CD,JAK2,G6PD,IL6,OPRM1,TOP2A,PIK3CG,NTRK1,TYK2,JAK3,NR1H4,PTPN11"
Process,GO:0048806,Genitalia development,7,47,5.45e-08,2.94e-06,"SRD5A1,AR,HSD17B3,CYP19A1,ESR1,SRD5A2,PTPN11"
Process,GO:0007193,Adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway,8,74,5.78e-08,3.08e-06,"CHRM3,ADRA2A,PDE2A,DRD2,GABBR1,DRD3,OPRM1,CHRM2"
Process,GO:0019233,Sensory perception of pain,8,74,5.78e-08,3.08e-06,"MAPK3,ACE,BACE1,PTGES,PTGS2,OPRM1,NTRK1,HTR2A"
Process,GO:0090276,Regulation of peptide hormone secretion,11,185,5.92e-08,3.13e-06,"ADRA2A,GLUL,PPARD,NOS2,DRD2,ALOX5,GABBR1,JAK2,IL6,NR1H4,PTPN11"
Process,GO:1901576,Organic substance biosynthetic process,39,2438,6.04e-08,3.19e-06,"CYP51A1,HSD17B1,CYP27B1,MAPK14,CYP2C9,MAPK3,POLB,CDK2,SLC6A3,SRD5A1,PPARG,HMGCR,NPC1L1,CYP11B1,GLUL,PPARD,CACNA1H,HSP90AA1,PTGES,PTGS1,PTGS2,CYP17A1,ALOX5,AR,HSD17B3,PIK3CD,POLA1,AKR1C3,JAK2,G6PD,CYP19A1,PPARA,TBXAS1,ESR1,PIK3CG,NR1H4,SRD5A2,NR1H3,CYP2D6"
Process,GO:0007548,Sex differentiation,13,282,6.18e-08,3.25e-06,"KDR,SRD5A1,ACE,PGR,CYP17A1,AR,HSD17B3,AKR1C3,CYP19A1,ESR1,NTRK1,SRD5A2,PTPN11"
Process,GO:0010595,Positive regulation of endothelial cell migration,9,107,6.25e-08,3.28e-06,"KDR,PLG,ADAM17,MET,PTGS2,ABL1,PIK3CD,FGFR1,PIK3CG"
Process,GO:0099536,Synaptic signaling,16,456,6.68e-08,3.49e-06,"MAPK1,SLC6A2,CHRM3,SLC6A3,ACHE,PLG,DRD2,GABBR1,RPS6KA3,JAK2,DRD3,HCRTR1,OPRM1,CHRM2,HTR2A,ADORA2A"
Process,GO:0046456,Icosanoid biosynthetic process,7,49,7.06e-08,3.67e-06,"CYP2C9,PTGES,PTGS1,PTGS2,ALOX5,AKR1C3,TBXAS1"
Process,GO:0043270,Positive regulation of ion transport,13,286,7.23e-08,3.74e-06,"SLC6A4,KCNH2,ADRA2A,F2,PTGES,DRD2,ABL1,TACR2,GABBR1,G6PD,JAK3,ABCB1,ADORA2A"
Process,GO:0090257,Regulation of muscle system process,12,236,7.4e-08,3.81e-06,"CHRM3,ADRA2A,PPARG,HSP90AA1,PDE4D,PTGS2,TACR2,G6PD,PPARA,ADRA2C,CHRM2,PIK3CG"
Process,GO:0009617,Response to bacterium,19,663,8.01e-08,4.1e-06,"MAPK1,CYP27B1,MAPK14,FABP4,MAPK3,ACE,F2,ADAM17,PPARD,NOS2,PTGS2,ABL1,RPS6KA3,JAK2,MAPK8,IL6,OPRM1,NR1H4,NR1H3"
Process,GO:0045935,Positive regulation of nucleobase-containing compound metabolic process,35,2056,8.27e-08,4.23e-06,"MAPK1,MAPK14,NR3C1,RORA,KCNH2,MAPK3,CDK2,EGFR,PPARG,PPARD,PRKDC,MET,PGR,RORC,NOS2,HSP90AA1,NR1I2,DYRK1A,ESR2,SREBF2,DRD2,NR1I3,ABL1,AR,RPS6KA3,JAK2,DRD3,PPARA,IL6,ESR1,TOP2A,HTR2A,NR1H4,NR1H3,NR1H2"
Process,GO:0060134,Prepulse inhibition,5,13,8.3e-08,4.23e-06,"SLC6A3,BACE1,DRD2,DRD3,ADORA2A"
Process,GO:0031279,Regulation of cyclase activity,8,78,8.42e-08,4.27e-06,"MAPK14,ADORA3,MAPK3,NOS2,DRD2,GABBR1,DRD3,MAPK8"
Process,GO:0030335,Positive regulation of cell migration,17,529,8.57e-08,4.33e-06,"MAPK1,MAPK3,KDR,EGFR,ADRA2A,PLG,ADAM17,MET,PTGS2,ABL1,PLAU,F10,PIK3CD,JAK2,IL6,FGFR1,PIK3CG"
Process,GO:0050731,Positive regulation of peptidyl-tyrosine phosphorylation,11,194,9.35e-08,4.71e-06,"FLT3,EGFR,ADRA2A,ACE,ADAM17,PTPN1,ABL1,JAK2,IL6,HTR2A,PTPN11"
Process,GO:0051897,Positive regulation of protein kinase B signaling,9,113,9.68e-08,4.87e-06,"EGFR,MET,HSP90AA1,F10,PIK3CD,AKR1C3,AKR1C2,FGFR1,PIK3CG"
Process,GO:0071222,Cellular response to lipopolysaccharide,11,195,9.82e-08,4.92e-06,"MAPK1,MAPK14,MAPK3,PPARD,NOS2,ABL1,JAK2,MAPK8,IL6,NR1H4,NR1H3"
Process,GO:0050796,Regulation of insulin secretion,10,153,1.05e-07,5.27e-06,"ADRA2A,GLUL,PPARD,NOS2,DRD2,ALOX5,JAK2,IL6,NR1H4,PTPN11"
Process,GO:1903351,Cellular response to dopamine,8,81,1.1e-07,5.49e-06,"MAPK1,CHRM3,MAPK3,DRD2,ABL1,DRD3,CHRM2,HTR2A"
Process,GO:0006805,Xenobiotic metabolic process,9,115,1.11e-07,5.53e-06,"CYP2C9,RORA,BCHE,RORC,NR1I2,CYP2C19,AKR1C1,CYP2D6,CES2"
Process,GO:0042448,Progesterone metabolic process,5,14,1.12e-07,5.55e-06,"SRD5A1,CYP17A1,AKR1C3,AKR1C2,AKR1C1"
Process,GO:0071248,Cellular response to metal ion,11,198,1.14e-07,5.61e-06,"MAPK1,HSD17B1,FABP4,MAPK3,EGFR,CYP11B1,BACE1,CACNA1H,PTGS2,AKR1C3,MAPK8"
Process,GO:0070372,Regulation of ERK1 and ERK2 cascade,13,299,1.18e-07,5.82e-06,"MAPK3,KDR,EGFR,PTPN2,DRD2,PTPN1,ABL1,HCRTR1,OPRM1,GPBAR1,NTRK1,HTR2A,PTPN11"
Process,GO:0051707,Response to other organism,27,1328,1.21e-07,5.9e-06,"MAPK1,CYP27B1,MAPK14,FABP4,MAPK3,PPARG,ACE,F2,ADAM17,PPARD,PRKDC,NOS2,HSP90AA1,PTGS2,ABL1,PIK3CD,RPS6KA3,JAK2,MAPK8,IL6,OPRM1,CHRM2,PIK3CG,TYK2,JAK3,NR1H4,NR1H3"
Process,GO:0045860,Positive regulation of protein kinase activity,15,416,1.26e-07,6.14e-06,"FLT3,CDC25B,EGFR,ADRA2A,ACE,ADAM17,HSP90AA1,DRD2,PTPN1,ABL1,JAK2,ADRA2C,FGFR1,PIK3CG,HTR2A"
Process,GO:0034614,Cellular response to reactive oxygen species,9,118,1.37e-07,6.63e-06,"MAPK1,MAPK3,EGFR,SIGMAR1,FABP1,ABL1,AKR1C3,MAPK8,IL6"
Process,GO:0051222,Positive regulation of protein transport,13,303,1.37e-07,6.63e-06,"MAPK14,PPARG,ACHE,GLUL,PPARD,HSP90AA1,SREBF2,PTGS2,JAK2,MAPK8,NR1H4,ADORA2A,NR1H2"
Process,GO:0009968,Negative regulation of signal transduction,26,1252,1.45e-07,6.95e-06,"CSNK2A1,MAPK14,RORA,EGFR,PPARG,HMGCR,ADAM17,PTPN2,MET,PDE2A,DYRK1A,PDE4D,PDE3A,DRD2,PTGS2,PTPN1,ABL1,AR,DRD3,PPARA,IL6,OPRM1,ESR1,NR1H4,NR1H3,NR1H2"
Process,GO:0045893,"Positive regulation of transcription, DNA-templated",31,1710,1.45e-07,6.95e-06,"MAPK14,NR3C1,RORA,KCNH2,MAPK3,CDK2,EGFR,PPARG,PPARD,PRKDC,MET,PGR,RORC,NR1I2,DYRK1A,ESR2,SREBF2,DRD2,NR1I3,ABL1,AR,RPS6KA3,JAK2,DRD3,PPARA,IL6,ESR1,TOP2A,NR1H4,NR1H3,NR1H2"
Process,GO:0006720,Isoprenoid metabolic process,9,119,1.46e-07,6.97e-06,"CYP2C9,SRD5A1,HMGCR,PPARD,AKR1B10,CYP2C19,AKR1C3,AKR1C1,CYP2D6"
Process,GO:0008203,Cholesterol metabolic process,9,119,1.46e-07,6.97e-06,"CYP51A1,CYP2C9,HMGCR,NPC1L1,CYP11B1,PPARD,SREBF2,G6PD,CYP2D6"
Process,GO:0097305,Response to alcohol,12,252,1.46e-07,6.97e-06,"POLB,SLC6A3,PPARG,ACE,DRD2,GABBR1,AKR1C3,AKR1C2,G6PD,PPARA,TBXAS1,OPRM1"
Process,GO:0010038,Response to metal ion,14,362,1.5e-07,7.1e-06,"MAPK1,HSD17B1,FABP4,MAPK3,SLC6A3,EGFR,CYP11B1,BACE1,CACNA1H,DRD2,PTGS2,AKR1C3,G6PD,MAPK8"
Process,GO:0002682,Regulation of immune system process,28,1438,1.61e-07,7.56e-06,"MAPK1,MAPK14,RORA,MAPK3,PPARG,ADAM17,PTPN2,PRKDC,NOS2,HSP90AA1,PDE4D,DRD2,PTPN1,ABL1,PIK3CD,RPS6KA3,JAK2,MAPK8,CYP19A1,IL6,ESR1,TYK2,JAK3,NR1H4,NR1H3,ADORA2A,PTPN11,NR1H2"
Process,GO:0030518,Intracellular steroid hormone receptor signaling pathway,7,56,1.62e-07,7.58e-06,"NR3C1,PGR,ESR2,NR3C2,AR,JAK2,ESR1"
Process,GO:0007186,G protein-coupled receptor signaling pathway,25,1174,1.65e-07,7.69e-06,"ADORA3,CHRM3,SIGMAR1,ADRA2A,CA2,PPARG,PDE2A,PDE4D,PDE3A,DRD2,TACR2,GABBR1,AKR1C3,AKR1C2,JAK2,DRD3,HCRTR1,ADRA2C,OPRM1,CHRM2,ESR1,PIK3CG,GPBAR1,HTR2A,ADORA2A"
Process,GO:0010876,Lipid localization,14,365,1.66e-07,7.69e-06,"FABP4,SIGMAR1,PPARG,NPC1L1,ACE,FABP1,PPARD,NOS2,DRD2,PTGS2,AKR1C1,DRD3,PPARA,ABCB1"
Process,GO:0055088,Lipid homeostasis,10,161,1.65e-07,7.69e-06,"FABP4,RORA,PPARG,NPC1L1,SREBF2,AKR1C1,EPHX2,NR1H4,NR1H3,NR1H2"
Process,GO:0099537,Trans-synaptic signaling,15,426,1.7e-07,7.82e-06,"MAPK1,SLC6A2,CHRM3,SLC6A3,ACHE,PLG,DRD2,GABBR1,RPS6KA3,DRD3,HCRTR1,OPRM1,CHRM2,HTR2A,ADORA2A"
Process,GO:0009888,Tissue development,31,1723,1.71e-07,7.86e-06,"MAPK1,STS,CYP27B1,MAPK14,NR3C1,MAPK3,KDR,EGFR,CA2,PPARG,ADAM17,PPARD,PRKDC,MET,PGR,RORC,PDE2A,PDE4D,CTSB,PTGS2,ABL1,AR,CA9,AKR1C3,AKR1C2,AKR1C1,JAK2,PPARA,FGFR1,ESR1,NTRK1"
Process,GO:0050678,Regulation of epithelial cell proliferation,14,366,1.71e-07,7.86e-06,"KDR,EGFR,PPARG,GLUL,ADAM17,PPARD,PRKDC,PGR,DRD2,ALOX5,AR,PIK3CD,FGFR1,GPBAR1"
Process,GO:1901654,Response to ketone,11,207,1.74e-07,7.97e-06,"NR3C1,SRD5A1,PPARG,ACE,AR,CA9,AKR1C3,AKR1C2,JAK2,SRD5A2,NR1H3"
Process,GO:0060135,Maternal process involved in female pregnancy,7,57,1.81e-07,8.27e-06,"CYP27B1,PPARD,PGR,CTSB,PTGS2,AR,ESR1"
Process,GO:0001963,"Synaptic transmission, dopaminergic",5,16,1.94e-07,8.81e-06,"SLC6A2,SLC6A3,DRD2,DRD3,ADORA2A"
Process,GO:0050730,Regulation of peptidyl-tyrosine phosphorylation,12,259,1.94e-07,8.81e-06,"FLT3,EGFR,ADRA2A,ACE,ADAM17,PTPN2,PTPN1,ABL1,JAK2,IL6,HTR2A,PTPN11"
Process,GO:0071496,Cellular response to external stimulus,13,317,2.26e-07,1.02e-05,"MAPK1,MAPK3,SRD5A1,PPARG,GLUL,PDE2A,SREBF2,PTGS2,AKR1C3,MAPK8,PPARA,CHEK1,NR1H4"
Process,GO:0031960,Response to corticosteroid,10,167,2.28e-07,1.03e-05,"NR3C1,FLT3,BCHE,SRD5A1,ACE,HSD11B2,PTGS2,AKR1C3,JAK2,IL6"
Process,GO:0070374,Positive regulation of ERK1 and ERK2 cascade,11,213,2.29e-07,1.03e-05,"MAPK3,KDR,EGFR,DRD2,ABL1,HCRTR1,OPRM1,GPBAR1,NTRK1,HTR2A,PTPN11"
Process,GO:0008285,Negative regulation of cell population proliferation,19,713,2.39e-07,1.07e-05,"CYP27B1,ADORA3,SLC6A4,BCHE,PPARG,PLG,PPARD,PTPN2,PTGES,DRD2,PTGS2,ALOX5,AR,GABBR1,JAK2,IL6,OPRM1,NTRK1,ADORA2A"
Process,GO:0009612,Response to mechanical stimulus,11,214,2.39e-07,1.07e-05,"MAPK14,MAPK3,PPARG,BACE1,PDE2A,DRD2,PTGS2,MAPK8,CHEK1,NTRK1,HTR2A"
Process,GO:0046887,Positive regulation of hormone secretion,9,127,2.46e-07,1.09e-05,"PPARG,GLUL,PPARD,DRD2,GABBR1,JAK2,CYP19A1,NR1H4,PTPN11"
